TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR
2061.326032,0.004756231,48493.09,7.1136999
2061.346464,0.004754759,48489.648,7.1192083
2061.366896,0.004753287,48512.43,7.1126318
2061.387328,0.004751815,48508.625,7.1153092
2061.40776,0.004750342,48544.637,7.1169634
2061.428193,0.004748869,48602.09,7.118001
2061.448625,0.004747395,48836.2675,
2061.469057,0.004745921,49070.445,7.2680969
2061.489489,0.004744446,49150.078,7.2709789
2061.509921,0.004742972,49214.492,7.2753043
2061.530353,0.004741496,49240.324,7.2752552
2061.550785,0.00474002,49279.777,7.2787981
2061.571218,0.004738544,49337.051,7.2839823
2061.59165,0.004737068,49388.246,7.283782
2061.612082,0.00473559,49478.781,7.2863803
2061.632514,0.004734113,49588.941,7.2909126
2061.652946,0.004732635,49660.754,7.2979293
2061.673378,0.004731156,49779.027,7.3035507
2061.69381,0.004729677,49826.109,7.3057957
2061.714242,0.004728198,49910.234,7.3104253
2061.734674,0.004726719,50018.875,7.3139892
2061.755107,0.004725238,50129.48,7.3163514
2061.775539,0.004723758,50255.051,7.3220096
2061.795971,0.004722277,50369.043,7.3315573
2061.816403,0.004720795,50454.527,7.3346453
2061.836835,0.004719314,50607.363,7.3432798
2061.857267,0.004717831,50823.457,7.3555989
2061.877699,0.004716349,50840.391,7.3566532
2061.898131,0.004714866,51565.543,7.3943467
2061.918564,0.004713382,54589.934,7.5316544
2061.938996,0.004711898,52248.996,7.4263487
2061.959428,0.004710414,51824.312,7.4058671
2061.97986,0.004708929,51746.871,7.4035993
2062.000292,0.004707444,51730.801,7.4019847
2062.020724,0.004705958,51712.215,7.4016113
2062.041156,0.004704472,51684.477,7.4020491
2062.061588,0.004702985,51764.145,7.4015641
2062.08202,0.004701498,51801.375,7.4072018
2062.102453,0.004700011,51875.027,7.4097848
2062.122885,0.004698523,51944.871,7.4111528
2062.143317,0.004697035,52003.977,7.4161186
2062.163749,0.004695546,52082.109,7.4192553
2062.184181,0.004694057,52125.5135,
2062.204613,0.004692568,52168.918,7.4096208
2062.225045,0.004691077,52236.777,7.4167824
2062.245477,0.004689587,52317.754,7.4212556
2062.26591,0.004688096,52399.02,7.4245105
2062.286342,0.004686605,52485.551,7.4266381
2062.306774,0.004685114,52540.773,7.4317393
2062.327206,0.004683621,52611.852,7.4312787
2062.347638,0.004682129,52732.195,7.4422855
2062.36807,0.004680636,52859.652,7.4515858
2062.388502,0.004679142,52900.246,7.4503107
2062.408934,0.004677649,53038.926,7.4591894
2062.429366,0.004676155,53093.836,7.4636145
2062.449799,0.00467466,53192.664,7.4671969
2062.470231,0.004673165,53249.078,7.4705086
2062.490663,0.00467167,53333.203,7.475678
2062.511095,0.004670173,53416.41,7.4811416
2062.531527,0.004668677,53545.281,7.4830213
2062.551959,0.004667181,53657.547,7.4875073
2062.572391,0.004665683,53729.02,7.4931283
2062.592823,0.004664186,53850.574,7.4983139
2062.613255,0.004662688,53915.785,7.5030851
2062.633687,0.004661189,54131.805,7.5109982
2062.65412,0.00465969,54242.25,7.5151186
2062.674552,0.004658191,54310.328,7.5192332
2062.694984,0.004656692,54419.84,7.5242543
2062.715416,0.004655191,54535.035,7.5322862
2062.735848,0.004653691,54642.352,7.5348191
2062.75628,0.00465219,54731.703,7.5391707
2062.776712,0.004650689,54830.875,7.5453329
2062.797144,0.004649187,54967.574,7.5494728
2062.817576,0.004647684,55025.031,7.5532079
2062.838009,0.004646182,55164.812,7.5582528
2062.858441,0.004644679,55247.262,7.5629191
2062.878873,0.004643175,55336.102,7.5683737
2062.899305,0.004641671,55382.43,7.5674591
2062.919737,0.004640167,55450.543,7.5685434
2062.940169,0.004638662,55572.18,7.5713558
2062.960601,0.004637157,55606.609,7.5722895
2062.981033,0.004635652,55674.918,7.5749869
2063.001465,0.004634146,55707.859,7.5799618
2063.021897,0.004632639,55727.898,7.5747995
2063.04233,0.004631132,55752.695,7.576395
2063.062762,0.004629625,55778.648,7.5780401
2063.083194,0.004628117,55746.18,7.5772624
2063.103626,0.004626609,55876.543,7.5822453
2063.124058,0.004625101,55834.141,7.5780883
2063.14449,0.004623592,55828.457,7.5778632
2063.164922,0.004622082,55847.543,7.5791306
2063.185354,0.004620573,55973.051,7.5830784
2063.205786,0.004619062,55865.77,7.5795617
2063.226218,0.004617552,55870.113,7.5791306
2063.24665,0.004616041,55852.801,7.5764732
2063.267082,0.004614529,55830.352,7.5753412
2063.287515,0.004613018,55773.777,7.5700216
2063.307947,0.004611505,55726.625,7.5692234
2063.328379,0.004609992,55689.664,7.5679016
2063.348811,0.004608479,55607.922,7.5612512
2063.369243,0.004606966,55535.93,7.5584326
2063.389675,0.004605452,55497.938,7.5490103
2063.410107,0.004603937,55491.316,7.5478406
2063.430539,0.004602422,55434.977,7.544765
