TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,flux_n,flux_n-median
2061.326286,0.005010398,40954.457,7.1660447,0.021731538,0.000663857
2061.346718,0.005008996,40840.574,7.173882,0.021658922,0.000591241
2061.36715,0.005007593,40884.863,7.1664324,0.021687162,0.000619481
2061.387583,0.00500619,40824.133,7.1688542,0.021648439,0.000580757
2061.408015,0.005004787,40787.828,7.170146,0.021625289,0.000557608
2061.428447,0.005003383,40785.918,7.1781583,0.021624071,0.00055639
2061.448879,0.005001979,40435.924,,0.021400901,0.00033322
2061.469311,0.005000575,40085.93,7.2696009,0.021177731,0.00011005
2061.489744,0.004999169,40109.582,7.26792,0.021192813,0.000125132
2061.510176,0.004997764,40057.18,7.2615538,0.021159399,9.17E-05
2061.530608,0.004996357,40049.363,7.267261,0.021154415,8.67E-05
2061.55104,0.004994951,40032.008,7.2761064,0.021143349,7.57E-05
2061.571473,0.004993544,40029.609,7.2650161,0.021141819,7.41E-05
2061.591905,0.004992137,40046.867,7.2751708,0.021152823,8.51E-05
2061.612337,0.004990729,40001.102,7.2722478,0.021123642,5.60E-05
2061.632769,0.00498932,39993.762,7.2780261,0.021118962,5.13E-05
2061.653201,0.004987912,39943.117,7.2780929,0.021086668,1.90E-05
2061.673633,0.004986502,39958.16,7.2896876,0.02109626,2.86E-05
2061.694066,0.004985093,39902.012,7.2674775,0.021060458,-7.22E-06
2061.714498,0.004983683,39902.73,7.2794023,0.021060916,-6.77E-06
2061.73493,0.004982272,39793.027,7.2636828,0.020990965,-7.67E-05
2061.755362,0.004980861,39826.254,7.2755694,0.021012152,-5.55E-05
2061.775794,0.004979449,39845.887,7.2854104,0.021024671,-4.30E-05
2061.796227,0.004978037,39846.461,7.2853174,0.021025037,-4.26E-05
2061.816659,0.004976625,39763.062,7.2656913,0.020971858,-9.58E-05
2061.837091,0.004975212,39759.719,7.2869673,0.020969727,-9.80E-05
2061.857523,0.004973799,39761.852,7.2742085,0.020971087,-9.66E-05
2061.877955,0.004972384,39732.184,7.2669835,0.020952169,-0.000115512
